date,pr,mm,mp,mc,weekday,hol,months,target
09/03/2019,1309,32,133,1947,Sat,N,14,2565
10/03/2019,1583,47,271,2879,Sun,N,14,2981
11/03/2019,1482,51,253,2991,Mon,N,14,2680
12/03/2019,1241,55,232,2403,Tue,N,14,2369
13/03/2019,1384,58,216,2466,Wed,N,14,2513
14/03/2019,1360,28,181,2181,Thu,N,14,2514
15/03/2019,1445,49,187,2256,Fri,N,14,2756
16/03/2019,1373,40,151,2129,Sat,N,14,2741
17/03/2019,1572,50,264,2845,Sun,N,14,3034
18/03/2019,1535,55,257,2881,Mon,N,14,2790
19/03/2019,1208,45,182,2382,Tue,N,14,2276
20/03/2019,1384,48,225,2540,Wed,N,14,2481
21/03/2019,1311,48,165,2138,Thu,N,14,2382
22/03/2019,1390,44,176,2245,Fri,N,14,2833
23/03/2019,1416,45,186,2165,Sat,N,14,2918
24/03/2019,1552,66,266,2711,Sun,N,14,3113
25/03/2019,1584,60,288,3074,Mon,N,14,2859
26/03/2019,1278,50,190,2213,Tue,N,14,2272
27/03/2019,1426,48,235,2534,Wed,N,14,2602
28/03/2019,1360,54,198,2205,Thu,N,14,2605
29/03/2019,1363,42,215,2442,Fri,N,14,2913
30/03/2019,1451,37,145,2173,Sat,N,14,2823
31/03/2019,1681,43,210,2581,Sun,N,14,3069
01/04/2019,1530,48,246,2728,Mon,N,15,2671
02/04/2019,1188,60,219,2074,Tue,N,15,2256
03/04/2019,1296,54,213,2200,Wed,N,15,2459
04/04/2019,1296,36,155,1995,Thu,N,15,2288
05/04/2019,1294,33,178,2155,Fri,N,15,2739
06/04/2019,1404,37,134,1994,Sat,N,15,2673
07/04/2019,1755,46,274,2967,Sun,N,15,3087
08/04/2019,1607,49,230,2959,Mon,N,15,2809
09/04/2019,1174,39,243,2361,Tue,N,15,2303
10/04/2019,1471,48,234,2495,Wed,N,15,2555
11/04/2019,1440,45,187,2321,Thu,N,15,2597
12/04/2019,1444,49,188,2164,Fri,N,15,2884
13/04/2019,1298,32,149,1927,Sat,N,15,2550
14/04/2019,1530,47,238,2489,Sun,N,15,2911
15/04/2019,1494,45,225,2587,Mon,N,15,2552
16/04/2019,1189,42,194,2089,Tue,N,15,2217
17/04/2019,1440,46,230,2464,Wed,N,15,2575
18/04/2019,1413,42,176,2156,Thu,N,15,2515
19/04/2019,1393,49,165,2309,Fri,N,15,2695
20/04/2019,1354,32,148,1962,Sat,N,15,2572
21/04/2019,1687,44,222,2657,Sun,N,15,3024
22/04/2019,1775,39,223,2837,Mon,N,15,2955
23/04/2019,1487,44,203,2413,Tue,N,15,2624
24/04/2019,1702,57,196,2553,Wed,N,15,2819
25/04/2019,1724,25,150,2268,Thu,N,15,2746
26/04/2019,1644,49,196,2320,Fri,N,15,3053
27/04/2019,1564,27,137,2125,Sat,N,15,3107
28/04/2019,1693,42,185,2386,Sun,N,15,3210
29/04/2019,1533,29,190,2216,Mon,N,15,2533
30/04/2019,1585,35,148,2160,Tue,N,15,2719
01/05/2019,2042,39,187,2545,Wed,N,16,3515
02/05/2019,1741,40,199,2233,Thu,N,16,2825
03/05/2019,2030,56,221,2586,Fri,N,16,3538
04/05/2019,2021,45,155,2152,Sat,N,16,3475
05/05/2019,1816,40,180,2427,Sun,N,16,3403
06/05/2019,1517,41,267,2692,Mon,N,16,2924
07/05/2019,1407,33,203,2840,Tue,N,16,2483
08/05/2019,1346,55,252,2615,Wed,N,16,2633
09/05/2019,1280,45,208,2474,Thu,N,16,2485
10/05/2019,1461,46,208,2376,Fri,N,16,2939
11/05/2019,1433,33,185,2312,Sat,N,16,2927
12/05/2019,1695,55,251,3102,Sun,N,16,3135
13/05/2019,1775,46,236,3229,Mon,N,16,2908
14/05/2019,1425,53,263,2674,Tue,N,16,2652
15/05/2019,1596,57,243,2709,Wed,N,16,2808
16/05/2019,1545,57,200,2550,Thu,N,16,2844
17/05/2019,1713,49,225,2599,Fri,N,16,3278
18/05/2019,1490,43,170,2301,Sat,N,16,2933
19/05/2019,1717,35,291,3149,Sun,N,16,3215
20/05/2019,1696,49,258,3067,Mon,N,16,2871
21/05/2019,1303,45,235,2388,Tue,N,16,2397
22/05/2019,1407,56,242,2566,Wed,N,16,2635
23/05/2019,1427,50,193,2403,Thu,N,16,2709
24/05/2019,1365,29,201,2407,Fri,N,16,2929
25/05/2019,1334,42,147,1993,Sat,N,16,2725
26/05/2019,1556,40,221,2850,Sun,N,16,2922
27/05/2019,1633,46,240,2833,Mon,N,16,2782
28/05/2019,1248,44,215,2462,Tue,N,16,2346
29/05/2019,1409,43,222,2639,Wed,N,16,2633
30/05/2019,1413,52,207,2620,Thu,N,16,2661
31/05/2019,1717,38,174,2580,Fri,N,16,2892
01/06/2019,1767,31,167,2360,Sat,N,17,3015
02/06/2019,1776,50,232,2929,Sun,N,17,3140
03/06/2019,1590,61,222,2830,Mon,N,17,2775
04/06/2019,1560,46,185,2478,Tue,N,17,2665
05/06/2019,2265,61,202,2916,Wed,N,17,3449
06/06/2019,2218,60,223,2805,Thu,N,17,3465
